
time 00h 01m 00s, episodes 55, frames 0.0M, mean epr 1.38, run loss 16.90
time 00h 02m 00s, episodes 112, frames 0.0M, mean epr 2.71, run loss 29.08
time 00h 03m 00s, episodes 183, frames 0.0M, mean epr 2.88, run loss 30.14
time 00h 04m 01s, episodes 254, frames 0.1M, mean epr 2.69, run loss 31.85
time 00h 05m 02s, episodes 332, frames 0.1M, mean epr 2.29, run loss 27.88
time 00h 06m 02s, episodes 401, frames 0.1M, mean epr 2.38, run loss 28.90
time 00h 07m 03s, episodes 474, frames 0.1M, mean epr 2.48, run loss 29.81
time 00h 08m 04s, episodes 546, frames 0.1M, mean epr 2.76, run loss 34.23
time 00h 09m 05s, episodes 613, frames 0.1M, mean epr 2.82, run loss 34.16
time 00h 10m 05s, episodes 684, frames 0.1M, mean epr 2.88, run loss 34.60
time 00h 11m 06s, episodes 753, frames 0.1M, mean epr 2.75, run loss 32.85
time 00h 12m 06s, episodes 832, frames 0.2M, mean epr 2.38, run loss 28.18
time 00h 13m 07s, episodes 901, frames 0.2M, mean epr 2.74, run loss 31.00
time 00h 14m 07s, episodes 972, frames 0.2M, mean epr 2.93, run loss 32.46
time 00h 15m 08s, episodes 1040, frames 0.2M, mean epr 3.06, run loss 35.17
time 00h 16m 09s, episodes 1111, frames 0.2M, mean epr 2.97, run loss 34.97
time 00h 17m 10s, episodes 1183, frames 0.2M, mean epr 3.08, run loss 36.36
time 00h 18m 11s, episodes 1249, frames 0.2M, mean epr 3.04, run loss 36.36
time 00h 19m 11s, episodes 1320, frames 0.2M, mean epr 3.00, run loss 35.46
time 00h 20m 12s, episodes 1387, frames 0.3M, mean epr 3.11, run loss 36.51
time 00h 21m 12s, episodes 1450, frames 0.3M, mean epr 3.70, run loss 41.44
time 00h 22m 13s, episodes 1513, frames 0.3M, mean epr 3.65, run loss 41.39
time 00h 23m 14s, episodes 1569, frames 0.3M, mean epr 4.28, run loss 46.10
time 00h 24m 14s, episodes 1636, frames 0.3M, mean epr 3.86, run loss 42.33
time 00h 25m 15s, episodes 1699, frames 0.3M, mean epr 3.91, run loss 42.14
time 00h 26m 16s, episodes 1759, frames 0.3M, mean epr 4.31, run loss 45.17
time 00h 27m 17s, episodes 1794, frames 0.3M, mean epr 6.85, run loss 61.64
time 00h 28m 18s, episodes 1843, frames 0.4M, mean epr 9.36, run loss 70.79
time 00h 29m 19s, episodes 1913, frames 0.4M, mean epr 6.64, run loss 52.71
time 00h 30m 19s, episodes 1957, frames 0.4M, mean epr 7.98, run loss 59.29
time 00h 31m 19s, episodes 1999, frames 0.4M, mean epr 8.61, run loss 63.72
time 00h 32m 19s, episodes 2029, frames 0.4M, mean epr 15.05, run loss 94.33
time 00h 33m 20s, episodes 2070, frames 0.4M, mean epr 16.60, run loss 102.95
time 00h 34m 21s, episodes 2108, frames 0.4M, mean epr 14.63, run loss 91.02
time 00h 35m 21s, episodes 2150, frames 0.5M, mean epr 16.75, run loss 100.89
time 00h 36m 23s, episodes 2193, frames 0.5M, mean epr 15.01, run loss 90.84
time 00h 37m 24s, episodes 2222, frames 0.5M, mean epr 16.23, run loss 96.99
time 00h 38m 24s, episodes 2271, frames 0.5M, mean epr 13.99, run loss 84.99
time 00h 39m 24s, episodes 2292, frames 0.5M, mean epr 16.57, run loss 96.84
time 00h 40m 25s, episodes 2322, frames 0.5M, mean epr 21.68, run loss 119.63
time 00h 41m 26s, episodes 2346, frames 0.5M, mean epr 26.19, run loss 136.88
time 00h 42m 26s, episodes 2367, frames 0.5M, mean epr 34.91, run loss 169.37
time 00h 43m 26s, episodes 2399, frames 0.6M, mean epr 38.71, run loss 183.22
time 00h 44m 27s, episodes 2433, frames 0.6M, mean epr 33.85, run loss 165.67
time 00h 45m 27s, episodes 2473, frames 0.6M, mean epr 30.83, run loss 154.35
time 00h 46m 27s, episodes 2494, frames 0.6M, mean epr 31.34, run loss 158.58
time 00h 47m 28s, episodes 2516, frames 0.6M, mean epr 36.31, run loss 174.04
time 00h 48m 28s, episodes 2550, frames 0.6M, mean epr 34.45, run loss 164.53
time 00h 49m 28s, episodes 2578, frames 0.6M, mean epr 33.57, run loss 162.75
time 00h 50m 29s, episodes 2610, frames 0.6M, mean epr 29.26, run loss 143.62
time 00h 51m 30s, episodes 2642, frames 0.7M, mean epr 27.55, run loss 137.50
time 00h 52m 31s, episodes 2678, frames 0.7M, mean epr 25.16, run loss 130.85
time 00h 53m 31s, episodes 2704, frames 0.7M, mean epr 25.15, run loss 131.37
time 00h 54m 32s, episodes 2735, frames 0.7M, mean epr 27.39, run loss 139.86
time 00h 55m 33s, episodes 2770, frames 0.7M, mean epr 28.64, run loss 141.92
time 00h 56m 33s, episodes 2796, frames 0.7M, mean epr 28.49, run loss 140.57
time 00h 57m 33s, episodes 2827, frames 0.7M, mean epr 30.91, run loss 148.47
time 00h 58m 33s, episodes 2856, frames 0.8M, mean epr 27.49, run loss 135.37
time 00h 59m 34s, episodes 2885, frames 0.8M, mean epr 29.51, run loss 144.58
time 01h 00m 34s, episodes 2909, frames 0.8M, mean epr 32.32, run loss 150.32
time 01h 01m 35s, episodes 2945, frames 0.8M, mean epr 30.60, run loss 141.07
time 01h 02m 35s, episodes 2969, frames 0.8M, mean epr 32.67, run loss 147.85
time 01h 03m 35s, episodes 2995, frames 0.8M, mean epr 31.54, run loss 144.38
time 01h 04m 37s, episodes 3018, frames 0.8M, mean epr 36.74, run loss 159.79
time 01h 05m 38s, episodes 3040, frames 0.8M, mean epr 40.68, run loss 172.97
time 01h 06m 39s, episodes 3058, frames 0.9M, mean epr 45.56, run loss 187.28
time 01h 07m 40s, episodes 3086, frames 0.9M, mean epr 55.32, run loss 213.54
time 01h 08m 41s, episodes 3110, frames 0.9M, mean epr 52.45, run loss 206.28
time 01h 09m 42s, episodes 3142, frames 0.9M, mean epr 48.33, run loss 191.08
time 01h 10m 43s, episodes 3177, frames 0.9M, mean epr 41.54, run loss 171.07
time 01h 11m 43s, episodes 3212, frames 0.9M, mean epr 36.18, run loss 155.68
time 01h 12m 43s, episodes 3241, frames 0.9M, mean epr 33.72, run loss 145.37
time 01h 13m 44s, episodes 3269, frames 1.0M, mean epr 32.49, run loss 145.19
time 01h 14m 44s, episodes 3293, frames 1.0M, mean epr 33.78, run loss 148.55
time 01h 15m 45s, episodes 3322, frames 1.0M, mean epr 36.86, run loss 155.50
time 01h 16m 46s, episodes 3356, frames 1.0M, mean epr 33.75, run loss 145.08
time 01h 17m 46s, episodes 3408, frames 1.0M, mean epr 24.95, run loss 112.85
time 01h 18m 47s, episodes 3442, frames 1.0M, mean epr 22.03, run loss 101.15
time 01h 19m 47s, episodes 3477, frames 1.0M, mean epr 22.72, run loss 103.45
time 01h 20m 47s, episodes 3503, frames 1.0M, mean epr 24.24, run loss 109.27
time 01h 21m 48s, episodes 3533, frames 1.1M, mean epr 25.71, run loss 115.02
time 01h 22m 49s, episodes 3554, frames 1.1M, mean epr 32.29, run loss 138.98
time 01h 23m 49s, episodes 3568, frames 1.1M, mean epr 38.01, run loss 154.33
time 01h 24m 50s, episodes 3595, frames 1.1M, mean epr 51.52, run loss 179.48
time 01h 25m 51s, episodes 3627, frames 1.1M, mean epr 46.01, run loss 165.45
time 01h 26m 51s, episodes 3655, frames 1.1M, mean epr 41.82, run loss 156.90
time 01h 27m 52s, episodes 3687, frames 1.1M, mean epr 37.63, run loss 143.22
time 01h 28m 54s, episodes 3722, frames 1.1M, mean epr 36.39, run loss 136.83
time 01h 29m 54s, episodes 3751, frames 1.2M, mean epr 35.40, run loss 132.96
time 01h 30m 55s, episodes 3778, frames 1.2M, mean epr 33.90, run loss 127.65
time 01h 31m 56s, episodes 3805, frames 1.2M, mean epr 35.78, run loss 136.00
time 01h 32m 57s, episodes 3826, frames 1.2M, mean epr 36.80, run loss 144.40
time 01h 33m 58s, episodes 3845, frames 1.2M, mean epr 45.59, run loss 168.02
time 01h 34m 58s, episodes 3865, frames 1.2M, mean epr 52.00, run loss 184.62
time 01h 35m 59s, episodes 3890, frames 1.2M, mean epr 53.52, run loss 187.96
time 01h 36m 59s, episodes 3920, frames 1.3M, mean epr 53.10, run loss 186.39
time 01h 38m 00s, episodes 3944, frames 1.3M, mean epr 48.85, run loss 175.84
time 01h 39m 01s, episodes 3975, frames 1.3M, mean epr 42.74, run loss 162.11
time 01h 40m 01s, episodes 4002, frames 1.3M, mean epr 43.38, run loss 164.22
time 01h 41m 01s, episodes 4024, frames 1.3M, mean epr 43.37, run loss 164.28
time 01h 42m 03s, episodes 4053, frames 1.3M, mean epr 46.91, run loss 171.79
time 01h 43m 03s, episodes 4080, frames 1.3M, mean epr 42.48, run loss 160.80
time 01h 44m 03s, episodes 4119, frames 1.3M, mean epr 35.32, run loss 140.09
time 01h 45m 03s, episodes 4145, frames 1.4M, mean epr 32.32, run loss 130.31
time 01h 46m 04s, episodes 4174, frames 1.4M, mean epr 30.65, run loss 128.93
time 01h 47m 04s, episodes 4199, frames 1.4M, mean epr 32.84, run loss 136.57
time 01h 48m 04s, episodes 4224, frames 1.4M, mean epr 37.35, run loss 147.84
time 01h 49m 05s, episodes 4248, frames 1.4M, mean epr 43.44, run loss 164.99
time 01h 50m 06s, episodes 4269, frames 1.4M, mean epr 42.64, run loss 163.22
time 01h 51m 08s, episodes 4289, frames 1.4M, mean epr 42.71, run loss 166.24
time 01h 52m 08s, episodes 4311, frames 1.4M, mean epr 45.25, run loss 175.35
time 01h 53m 08s, episodes 4343, frames 1.5M, mean epr 43.75, run loss 171.63
time 01h 54m 09s, episodes 4380, frames 1.5M, mean epr 40.25, run loss 157.37
time 01h 55m 09s, episodes 4409, frames 1.5M, mean epr 36.13, run loss 146.32
time 01h 56m 10s, episodes 4438, frames 1.5M, mean epr 33.66, run loss 138.49
time 01h 57m 11s, episodes 4469, frames 1.5M, mean epr 32.18, run loss 133.21
time 01h 58m 12s, episodes 4492, frames 1.5M, mean epr 34.20, run loss 141.27
time 01h 59m 13s, episodes 4515, frames 1.5M, mean epr 37.60, run loss 151.40
time 02h 00m 13s, episodes 4533, frames 1.6M, mean epr 41.90, run loss 160.07
time 02h 01m 13s, episodes 4562, frames 1.6M, mean epr 50.35, run loss 175.88
time 02h 02m 14s, episodes 4587, frames 1.6M, mean epr 45.47, run loss 166.70
time 02h 03m 15s, episodes 4614, frames 1.6M, mean epr 47.07, run loss 170.62
time 02h 04m 16s, episodes 4646, frames 1.6M, mean epr 41.51, run loss 156.77
time 02h 05m 17s, episodes 4671, frames 1.6M, mean epr 38.97, run loss 151.37
time 02h 06m 17s, episodes 4692, frames 1.6M, mean epr 38.78, run loss 154.05
time 02h 07m 18s, episodes 4710, frames 1.6M, mean epr 50.07, run loss 181.33
time 02h 08m 18s, episodes 4731, frames 1.7M, mean epr 58.28, run loss 201.62
time 02h 09m 18s, episodes 4751, frames 1.7M, mean epr 57.48, run loss 202.33
time 02h 10m 19s, episodes 4774, frames 1.7M, mean epr 59.45, run loss 206.42
time 02h 11m 20s, episodes 4805, frames 1.7M, mean epr 53.06, run loss 188.90
time 02h 12m 21s, episodes 4821, frames 1.7M, mean epr 53.04, run loss 192.97
time 02h 13m 21s, episodes 4843, frames 1.7M, mean epr 57.76, run loss 202.80
time 02h 14m 22s, episodes 4863, frames 1.7M, mean epr 56.87, run loss 200.76
time 02h 15m 22s, episodes 4888, frames 1.7M, mean epr 60.64, run loss 202.86
time 02h 16m 23s, episodes 4905, frames 1.8M, mean epr 57.45, run loss 197.02
time 02h 17m 24s, episodes 4925, frames 1.8M, mean epr 67.08, run loss 220.49
time 02h 18m 24s, episodes 4954, frames 1.8M, mean epr 64.41, run loss 213.44
time 02h 19m 25s, episodes 4985, frames 1.8M, mean epr 52.72, run loss 184.06
time 02h 20m 26s, episodes 5016, frames 1.8M, mean epr 46.51, run loss 171.15
