
time 00h 01m 00s, episodes 83, frames 0.0M, mean epr 1.89, run loss 21.56
time 00h 02m 00s, episodes 180, frames 0.0M, mean epr 2.82, run loss 29.32
time 00h 03m 00s, episodes 280, frames 0.1M, mean epr 2.97, run loss 35.32
time 00h 04m 01s, episodes 389, frames 0.1M, mean epr 2.41, run loss 29.71
time 00h 05m 02s, episodes 419, frames 0.1M, mean epr 2.45, run loss 30.11
time 00h 06m 03s, episodes 514, frames 0.1M, mean epr 2.76, run loss 29.49
time 00h 07m 03s, episodes 629, frames 0.1M, mean epr 2.34, run loss 24.92
time 00h 08m 04s, episodes 727, frames 0.1M, mean epr 2.85, run loss 30.95
time 00h 09m 05s, episodes 741, frames 0.1M, mean epr 2.92, run loss 32.00
time 00h 10m 08s, episodes 749, frames 0.1M, mean epr 2.89, run loss 31.72
time 00h 11m 08s, episodes 789, frames 0.1M, mean epr 2.67, run loss 30.54
time 00h 12m 09s, episodes 879, frames 0.2M, mean epr 3.12, run loss 35.73
time 00h 13m 09s, episodes 982, frames 0.2M, mean epr 2.79, run loss 31.82
time 00h 14m 09s, episodes 1073, frames 0.2M, mean epr 3.04, run loss 32.90
time 00h 15m 09s, episodes 1165, frames 0.2M, mean epr 3.04, run loss 35.52
time 00h 16m 09s, episodes 1269, frames 0.2M, mean epr 2.76, run loss 33.92
time 00h 17m 09s, episodes 1366, frames 0.3M, mean epr 2.72, run loss 32.96
time 00h 18m 09s, episodes 1455, frames 0.3M, mean epr 2.77, run loss 33.41
time 00h 19m 09s, episodes 1532, frames 0.3M, mean epr 3.79, run loss 40.49
time 00h 20m 09s, episodes 1622, frames 0.3M, mean epr 4.11, run loss 42.54
time 00h 21m 09s, episodes 1718, frames 0.3M, mean epr 3.95, run loss 38.77
time 00h 22m 09s, episodes 1784, frames 0.3M, mean epr 4.08, run loss 39.80
time 00h 23m 10s, episodes 1877, frames 0.4M, mean epr 3.40, run loss 33.61
time 00h 24m 10s, episodes 1957, frames 0.4M, mean epr 3.52, run loss 33.77
time 00h 25m 11s, episodes 2019, frames 0.4M, mean epr 6.45, run loss 52.15
time 00h 26m 11s, episodes 2063, frames 0.4M, mean epr 10.28, run loss 74.96
time 00h 27m 11s, episodes 2076, frames 0.4M, mean epr 12.77, run loss 85.75
time 00h 28m 11s, episodes 2089, frames 0.4M, mean epr 18.00, run loss 108.70
time 00h 29m 11s, episodes 2140, frames 0.4M, mean epr 21.38, run loss 126.78
time 00h 30m 12s, episodes 2181, frames 0.5M, mean epr 24.35, run loss 137.81
time 00h 31m 12s, episodes 2206, frames 0.5M, mean epr 26.88, run loss 148.37
time 00h 32m 12s, episodes 2230, frames 0.5M, mean epr 36.93, run loss 177.96
time 00h 33m 13s, episodes 2266, frames 0.5M, mean epr 45.09, run loss 204.22
time 00h 34m 13s, episodes 2290, frames 0.5M, mean epr 52.78, run loss 228.46
time 00h 35m 13s, episodes 2314, frames 0.5M, mean epr 66.02, run loss 262.76
time 00h 36m 13s, episodes 2354, frames 0.6M, mean epr 63.07, run loss 248.42
time 00h 37m 13s, episodes 2380, frames 0.6M, mean epr 56.38, run loss 230.85
time 00h 38m 14s, episodes 2423, frames 0.6M, mean epr 49.19, run loss 203.38
time 00h 39m 14s, episodes 2460, frames 0.6M, mean epr 41.31, run loss 176.12
